Departamento,Título,URL
Amazonas,Reportaje al Perú - AMAZONAS el valle de las cataratas (estreno),https://www.youtube.com/watch?v=FmtLvl2OtHw&pp=ygUZdHVyaXNtbyBlbiBBbWF6b25hcyBQZXLDug%3D%3D
Amazonas,"El mercado más EXTRAÑO que he visitado | Amazonas: Belén, Perú",https://www.youtube.com/watch?v=L3bp3lJScXU&pp=ygUZdHVyaXNtbyBlbiBBbWF6b25hcyBQZXLDug%3D%3D
Amazonas,🌿 AMAZONAS PERUANO: Guía Completa de sitios 🇵🇪,https://www.youtube.com/watch?v=OtEjK9VcrLM&t=315s&pp=ygUZdHVyaXNtbyBlbiBBbWF6b25hcyBQZXLDutIHCQnYCQGHKiGM7w%3D%3D
Áncash,Reportaje al Perú: Áncash (22/09/2024) | TVPerú,https://www.youtube.com/watch?v=z56Llh3sSXs&pp=ygUYdHVyaXNtbyBlbiDDgW5jYXNoIFBlcsO6
Áncash,🌈ÁNCASH: DESCUBRE TODOS SUS LUGARES TURÍSTICOS | 2&THEWORLD,https://www.youtube.com/watch?v=Vzm_lnesUV4&pp=ygUYdHVyaXNtbyBlbiDDgW5jYXNoIFBlcsO6
Áncash,"HUARAZ EN 3 DÍAS: Cómo llegar, qué hacer y costos - Áncash 2024",https://www.youtube.com/watch?v=H8a-0I8BQIU&pp=ygUYdHVyaXNtbyBlbiDDgW5jYXNoIFBlcsO6
Apurímac,¿Qué hacer y cuánto cuesta VIAJAR A APURÍMAC un fin de semana? ⛰️🌳 l APURÍMAC CON NIÑOS,https://www.youtube.com/watch?v=m-YHSVXai0g&pp=ygUadHVyaXNtbyBlbiBBcHVyw61tYWMgUGVyw7o%3D
Apurímac,Reportaje al Perú: Apurímac - cap 1,https://www.youtube.com/watch?v=FbcBjnR0ucs&pp=ygUadHVyaXNtbyBlbiBBcHVyw61tYWMgUGVyw7o%3D
Apurímac,"Qué lugares conocer en la ciudad de Abancay, sin tour ni guiado. ⛰️🌴",https://www.youtube.com/watch?v=rF4wpMbBXfI&pp=ygUadHVyaXNtbyBlbiBBcHVyw61tYWMgUGVyw7o%3D
Arequipa,"AREQUIPA | 13 LUGARES TURÍSTICOS PARA VISITAR (TODO lo que DEBES SABER, HACER y CONOCER) 😲",https://www.youtube.com/watch?v=duFze7nWfR8&pp=ygUZdHVyaXNtbyBlbiBBcmVxdWlwYSBQZXLDug%3D%3D
Arequipa,Qué hacer en AREQUIPA EN 4 DIAS: Guía completa 2024,https://www.youtube.com/watch?v=vHjSB8xk8Uw&pp=ygUZdHVyaXNtbyBlbiBBcmVxdWlwYSBQZXLDug%3D%3D
Arequipa,Arequipa 2025 SUPER BARATO‼️✈️ 21 Lugares turisticos en 3 dias🔥 4K Peru 🌋 Ciudad blanca para visitar,https://www.youtube.com/watch?v=WRtBxNMoceU&pp=ygUZdHVyaXNtbyBlbiBBcmVxdWlwYSBQZXLDug%3D%3D
Ayacucho,12 LUGARES EN AYACUCHO que debes visitar este 2023,https://www.youtube.com/watch?v=IFkKuiTGpAg&pp=ygUZdHVyaXNtbyBlbiBBeWFjdWNobyBQZXLDug%3D%3D
Ayacucho,AYACUCHO : ¿Que VISITAR en esta hermosa ciudad ? 2024,https://www.youtube.com/watch?v=tEDtfWwrJTo&pp=ygUZdHVyaXNtbyBlbiBBeWFjdWNobyBQZXLDug%3D%3D
Ayacucho,"AYACUCHO EN 4 DÍAS y con NIÑOS ⛪️ (Presupuesto, itinerario, dónde comer, etc)",https://www.youtube.com/watch?v=3S2GmhQl-Ro&pp=ygUZdHVyaXNtbyBlbiBBeWFjdWNobyBQZXLDug%3D%3D
Cajamarca,10 LUGARES TURÍSTICOS para visitar en CAJAMARCA.🇵🇪,https://www.youtube.com/watch?v=echIcCeMeRc&pp=ygUadHVyaXNtbyBlbiBDYWphbWFyY2EgUGVyw7o%3D
Cajamarca,10 LUGARES que DEBES VISITAR en CAJAMARCA✅🔥,https://www.youtube.com/watch?v=M9ceAAPZrMY&pp=ygUadHVyaXNtbyBlbiBDYWphbWFyY2EgUGVyw7o%3D
Cajamarca,CAJAMARCA en 3 DIAS: LUGARES TURISTICOS y costos para este 2025,https://www.youtube.com/watch?v=Ozcn6JuRzZ0&pp=ygUadHVyaXNtbyBlbiBDYWphbWFyY2EgUGVyw7o%3D
Callao,El CALLAO PERÚ | 11 MEJORES LUGARES TURÍSTICOS que DEBES VISITAR (QUE HACER y QUE CONOCER),https://www.youtube.com/watch?v=B6x1Z6riAb4&pp=ygUXdHVyaXNtbyBlbiBDYWxsYW8gUGVyw7o%3D
Callao,¿SENTIMOS MIEDO EN LA PUNTA DEL CALLAO? - PERÚ NO DEJA DE SORPRENDERNOS😱,https://www.youtube.com/watch?v=VhMGE-9UcoM&pp=ygUXdHVyaXNtbyBlbiBDYWxsYW8gUGVyw7o%3D
Callao,El Camotal: el tesoro en altamar mejor guardado del Callao,https://www.youtube.com/watch?v=gt_fkd-5Ueg&pp=ygUXdHVyaXNtbyBlbiBDYWxsYW8gUGVyw7o%3D
Cusco,👉 CUSCO en 7 días ⛰️🇵🇪 ... GUÍA DE VIAJE y lugares imperdibles 😉 ... #recomendaciones #viajes,https://www.youtube.com/watch?v=b0DtwUq386Y&pp=ygUWdHVyaXNtbyBlbiBDdXNjbyBQZXLDug%3D%3D
Cusco,17 nuevos lugares que conocer en Cusco en 3 días,https://www.youtube.com/watch?v=_YH9JoDR-kY&pp=ygUWdHVyaXNtbyBlbiBDdXNjbyBQZXLDug%3D%3D
Cusco,GUÍA COMPLETA ▶ Qué ver en la CIUDAD de CUZCO / CUSCO (PERÚ) 🇵🇪 🌏 Turismo y viajes a PERÚ,https://www.youtube.com/watch?v=CvFEATh_EKs&pp=ygUWdHVyaXNtbyBlbiBDdXNjbyBQZXLDug%3D%3D
Huancavelica,7 Joyas OCULTAS DE HUANCAVELICA que te dejarán sin aliento 😲🏔️ PERÚ,https://www.youtube.com/watch?v=bmaMzXiw1WA&pp=ygUddHVyaXNtbyBlbiBIdWFuY2F2ZWxpY2EgUGVyw7o%3D
Huancavelica,Huancavelica: conozca sus principales atractivos turísticos,https://www.youtube.com/watch?v=-fkbnxtSZUY&pp=ygUddHVyaXNtbyBlbiBIdWFuY2F2ZWxpY2EgUGVyw7rSBwkJ2AkBhyohjO8%3D
Huancavelica,CUANTO CUESTA VIAJAR A HUANCAVELICA - PERÚ por 2 días y 2 noches /que lugares turísticos visitar /,https://www.youtube.com/watch?v=kuCuy-gfUMI&pp=ygUddHVyaXNtbyBlbiBIdWFuY2F2ZWxpY2EgUGVyw7o%3D
Huánuco,"Reportaje al Perú: HUÁNUCO, tierra de tradiciones (23/02/2020) | TVPerú",https://www.youtube.com/watch?v=bpksE3EFti0&pp=ygUZdHVyaXNtbyBlbiBIdcOhbnVjbyBQZXLDug%3D%3D
Huánuco,Top 05 Lugares Turísticos de Tingo María Huánuco Perú 🇵🇪 2024,https://www.youtube.com/watch?v=W486mPdr6XI&pp=ygUZdHVyaXNtbyBlbiBIdcOhbnVjbyBQZXLDutIHCQnYCQGHKiGM7w%3D%3D
Huánuco,7 Lugares TURÍSTICOS para Visitar en la Ciudad de HUÁNUCO - PERÚ,https://www.youtube.com/watch?v=FLO67x5rDbk&pp=ygUZdHVyaXNtbyBlbiBIdcOhbnVjbyBQZXLDug%3D%3D
Ica,5 LUGARES QUE DEBES DE CONOCER DE LA REGIÓN ICA,https://www.youtube.com/watch?v=ZS2UirVug10&pp=ygUUdHVyaXNtbyBlbiBJY2EgUGVyw7o%3D
Ica,ICA Lugares turisticos 🔥 COMO LLEGAR desde Lima ó ICA Barato‼️ Peru turismo Nazca Paracas Huacachina,https://www.youtube.com/watch?v=IjnYfpsW2e4&pp=ygUUdHVyaXNtbyBlbiBJY2EgUGVyw7rSBwkJ2AkBhyohjO8%3D
Ica,ICA SUPER BARATO‼️🔥 Nazca + Paracas + 9 Lugares en 3 dias🏂🏝️ Huacachina Peru 2025 Turismo Turisticos,https://www.youtube.com/watch?v=9zN2hqcoAl0&pp=ygUUdHVyaXNtbyBlbiBJY2EgUGVyw7o%3D
Junín,DESCUBRE 10 SORPRENDENTES LUGARES en Junín ¡No querrás volver de esta aventura!,https://www.youtube.com/watch?v=C9VXG0Zpg6M&pp=ygUXdHVyaXNtbyBlbiBKdW7DrW4gUGVyw7o%3D
Junín,"🇵🇪 Descubriendo la PERLA DE LOS ANDES | Tarma, Junín, Perú",https://www.youtube.com/watch?v=xSQoQ-MiMmQ&pp=ygUXdHVyaXNtbyBlbiBKdW7DrW4gUGVyw7o%3D
Junín,"LAGO CHINCHAYCOCHA JUNÍN, Un paraíso de la naturaleza 🦙| TRAVELERAS @hugoxchugox",https://www.youtube.com/watch?v=hDRMTnH1BaM&pp=ygUXdHVyaXNtbyBlbiBKdW7DrW4gUGVyw7o%3D
La Libertad,"🔥 Huamachuco, La Libertad: 8 lugares en 2 dias TODO INCLUIDO 🔥🏞️🚣‍♀️🏝️ Trujillo lugares turisticos",https://www.youtube.com/watch?v=qhaGHyx41Ps&pp=ygUcdHVyaXNtbyBlbiBMYSBMaWJlcnRhZCBQZXLDug%3D%3D
La Libertad,"10 lugares que debes conocer, si visitas TRUJILLO por primera vez.🇵🇪",https://www.youtube.com/watch?v=yrnIlr5LJAM&pp=ygUcdHVyaXNtbyBlbiBMYSBMaWJlcnRhZCBQZXLDug%3D%3D
La Libertad,LA LIBERTAD PERÚ,https://www.youtube.com/watch?v=cvZUci3l6yw&pp=ygUcdHVyaXNtbyBlbiBMYSBMaWJlcnRhZCBQZXLDug%3D%3D
Lambayeque,Chiclayo y sus imperdibles atractivos turísticos,https://www.youtube.com/watch?v=kfcCFvDS_bc&pp=ygUbdHVyaXNtbyBlbiBMYW1iYXllcXVlIFBlcsO6
Lambayeque,11 LUGARES que puedes VISITAR en LAMBAYEQUE,https://www.youtube.com/watch?v=aGkzuXGVm6U&pp=ygUbdHVyaXNtbyBlbiBMYW1iYXllcXVlIFBlcsO6
Lambayeque,LAMBAYEQUE y sus MEJORES DESTINOS TURISTICOS para conocer | 27 Lugares |,https://www.youtube.com/watch?v=6BoIXQj63Wg&pp=ygUbdHVyaXNtbyBlbiBMYW1iYXllcXVlIFBlcsO6
Lima,✨ LIMA en 3 DÍAS: Los Lugares IMPERDIBLES para Visitar en 2025 🇵🇪 ¡Guía Completa!,https://www.youtube.com/watch?v=gXrBMAj8zSE&pp=ygUVdHVyaXNtbyBlbiBMaW1hIFBlcsO6
Lima,"👉 Los 7 Mejores Destinos cerca de LIMA, PERÚ 🇵🇪 ... #recomendaciones #viajes #travel",https://www.youtube.com/watch?v=q7LEW0Zem-Q&pp=ygUVdHVyaXNtbyBlbiBMaW1hIFBlcsO6
Lima,Lugares ALUCINANTES de LIMA PERÚ 🇵🇪,https://www.youtube.com/watch?v=aKu14A8E2Hg&pp=ygUVdHVyaXNtbyBlbiBMaW1hIFBlcsO6
Loreto,Disfrute de Loreto y sus atractivos turísticos,https://www.youtube.com/watch?v=rSYLIMjbDVQ&pp=ygUXdHVyaXNtbyBlbiBMb3JldG8gUGVyw7o%3D
Loreto,"Iquitos, Mercados Exóticos En La Selva Amazónica. Loreto, Perú",https://www.youtube.com/watch?v=Fg5uq8CHI-c&pp=ygUXdHVyaXNtbyBlbiBMb3JldG8gUGVyw7o%3D
Loreto,"El mercado más EXTRAÑO que he visitado | Amazonas: Belén, Perú",https://www.youtube.com/watch?v=L3bp3lJScXU&pp=ygUXdHVyaXNtbyBlbiBMb3JldG8gUGVyw7rSBwkJ2AkBhyohjO8%3D
Madre de Dios,"10 lugares turísticos de Puerto Maldonado, Madre de Dios",https://www.youtube.com/watch?v=TbyMETOEdKI&pp=ygUedHVyaXNtbyBlbiBNYWRyZSBkZSBEaW9zIFBlcsO6
Madre de Dios,Reportaje al Perú: Madre de Dios (04/06/2023) | TVPerú,https://www.youtube.com/watch?v=1Vx9whQQUhM&pp=ygUedHVyaXNtbyBlbiBNYWRyZSBkZSBEaW9zIFBlcsO6
Madre de Dios,"PUERTO MALDONADO, un PARAÍSO NATURAL por descubrir 🐅🦜| TRAVELERAS",https://www.youtube.com/watch?v=f0f91msTfco&pp=ygUedHVyaXNtbyBlbiBNYWRyZSBkZSBEaW9zIFBlcsO6
Moquegua,MOQUEGUA: 5 maravillas ocultas que debes conocer | Turismo | Viajes,https://www.youtube.com/watch?v=99YAbhTGa-M&pp=ygUZdHVyaXNtbyBlbiBNb3F1ZWd1YSBQZXLDug%3D%3D
Moquegua,Reportaje al Perú: Moquegua (08/09/2024) | TVPerú,https://www.youtube.com/watch?v=TXi5SZqYVWw&pp=ygUZdHVyaXNtbyBlbiBNb3F1ZWd1YSBQZXLDug%3D%3D
Moquegua,MOQUEGUA 2025 BARATO y con NIÑOS ☀️ l ¿Cómo llegar? ¿Qué hacer? ¿Presupuesto? l EP. 1,https://www.youtube.com/watch?v=0fUxf3FDzn4&pp=ygUZdHVyaXNtbyBlbiBNb3F1ZWd1YSBQZXLDutIHCQnYCQGHKiGM7w%3D%3D
Pasco,"Las MARAVILLAS DE Cerro de Pasco, Bosque de Piedras de Huayllay - Nevado Huaguruncho",https://www.youtube.com/watch?v=lSZ3BqiyYtU&pp=ygUWdHVyaXNtbyBlbiBQYXNjbyBQZXLDug%3D%3D
Pasco,"🇵🇪 Cerro de Pasco: 2 Lugares TURISTICOS en 1 día 🍃🏞️ COMO LLEGAR ‼️ Turismo en Lima, Pasco Peru tour",https://www.youtube.com/watch?v=n-VmM963Xuw&pp=ygUWdHVyaXNtbyBlbiBQYXNjbyBQZXLDug%3D%3D
Pasco,"Cerro de Pasco: Puentes milenarios, pueblos fantasma y tesoros escondidos | DOCUMENTAL",https://www.youtube.com/watch?v=OH94RNCp_ss&pp=ygUWdHVyaXNtbyBlbiBQYXNjbyBQZXLDug%3D%3D
Piura,PIURA:¿QUE VISITAR EN LA CIUDAD DEL ETERNO CALOR?. #1,https://www.youtube.com/watch?v=jfLlRVjfGR8&pp=ygUWdHVyaXNtbyBlbiBQaXVyYSBQZXLDug%3D%3D
Piura,5 LUGARES OBLIGADOS EN TU VISITA A PIURA #turismo #piura #norte #recorrido,https://www.youtube.com/watch?v=r2o7LitC_Oo&pp=ygUWdHVyaXNtbyBlbiBQaXVyYSBQZXLDug%3D%3D
Piura,Reportaje al Perú: Piura (21/07/2024) | TVPerú,https://www.youtube.com/watch?v=FC9006MzlUU&pp=ygUWdHVyaXNtbyBlbiBQaXVyYSBQZXLDug%3D%3D
Puno,5 LUGARES TURÍSTICOS IMPRESCINDIBLES para visitar en PUNO🇵🇪,https://www.youtube.com/watch?v=xQwE0AlPoNM&pp=ygUVdHVyaXNtbyBlbiBQdW5vIFBlcsO6
Puno,Reportaje al Perú: Puno (22/10/2023) | TVPerú,https://www.youtube.com/watch?v=xz3aOvubLtQ&pp=ygUVdHVyaXNtbyBlbiBQdW5vIFBlcsO6
Puno,"PUNO en 3 DIAS: Lampa, isla de los uros, taquile y mas - Presupuesto 2024",https://www.youtube.com/watch?v=9_3nYXkoe80&pp=ygUVdHVyaXNtbyBlbiBQdW5vIFBlcsO6
San Martín,Descubre la maravillosa región de San Martín #ElPerúEsSusRegiones,https://www.youtube.com/watch?v=-NyTVxp2wgw&pp=ygUcdHVyaXNtbyBlbiBTYW4gTWFydMOtbiBQZXLDug%3D%3D
San Martín,7 LUGARES TURISTICOS QUE TIENES QUE VISITAR EN TARAPOTO /PERU,https://www.youtube.com/watch?v=icRpTjE3-Qs&pp=ygUcdHVyaXNtbyBlbiBTYW4gTWFydMOtbiBQZXLDug%3D%3D
San Martín,JUANJUÍ PERÚ // Descubre la Perla Amazónica de San Martín en la Selva Peruana,https://www.youtube.com/watch?v=ZdI30eqrPTg&pp=ygUcdHVyaXNtbyBlbiBTYW4gTWFydMOtbiBQZXLDug%3D%3D
Tacna,TACNA | 10 LUGARES TURÍSTICOS PARA VISITAR en la CIUDAD HEROICA del PERÚ (QUE HACER y QUE CONOCER),https://www.youtube.com/watch?v=jBZNko7b2QY&pp=ygUWdHVyaXNtbyBlbiBUYWNuYSBQZXLDug%3D%3D
Tacna,¡Descubre TACNA EN 3 DIAS! Presupuesto increíble para planificar tu aventura 2023,https://www.youtube.com/watch?v=5nv4-ogYzTU&pp=ygUWdHVyaXNtbyBlbiBUYWNuYSBQZXLDug%3D%3D
Tacna,"Reportaje al Perú: Tacna, heroicidad, valles y mar (16/04/2023) TVPerú",https://www.youtube.com/watch?v=XnqQxGAOdhA&pp=ygUWdHVyaXNtbyBlbiBUYWNuYSBQZXLDug%3D%3D
Tumbes,Reportaje al Perú: Tumbes (07/07/2024) | TVPerú,https://www.youtube.com/watch?v=5nqgLqoQoxI&pp=ygUXdHVyaXNtbyBlbiBUdW1iZXMgUGVyw7o%3D
Tumbes,🚣 Manglares de tumbes + Ecuador frontera 🌉 Como llegar BARATO✅ Sin tour 2025 Peru Lugares turisticos,https://www.youtube.com/watch?v=0QARuR8mvms&pp=ygUXdHVyaXNtbyBlbiBUdW1iZXMgUGVyw7o%3D
Tumbes,Crónicas de un viajero | Turismo en Tumbes,https://www.youtube.com/watch?v=cd1_v8PahC0&pp=ygUXdHVyaXNtbyBlbiBUdW1iZXMgUGVyw7o%3D
Ucayali,Reportaje al Perú: Ucayali (04/08/2024) | TVPerú,https://www.youtube.com/watch?v=D3mENqKVxhM&pp=ygUYdHVyaXNtbyBlbiBVY2F5YWxpIFBlcsO6
Ucayali,Ucayali: conozca sus principales atractivos turísticos,https://www.youtube.com/watch?v=M-j-DdXlIpk&pp=ygUYdHVyaXNtbyBlbiBVY2F5YWxpIFBlcsO6
Ucayali,"Pucallpa, Perú: La tierra colorada de Ucayali | Gigi Aventuras",https://www.youtube.com/watch?v=-rszcJDAUoI&pp=ygUYdHVyaXNtbyBlbiBVY2F5YWxpIFBlcsO6
